file,correct,change,spurious,eliminate
old.java,88.88888888888889,95.85492227979275,95.85492227979275,11.11111111111111
old.java,75.0,75.0,75.0,25.0
old.java,50.0,95.81395348837209,95.81395348837209,50.0
old.java,100.0,28.57142857142857,28.57142857142857,0.0
old.java,62.5,96.40287769784173,96.40287769784173,37.5
old.java,92.85714285714286,96.53333333333333,96.53333333333333,7.142857142857142
old.java,57.14285714285714,97.97979797979798,97.97979797979798,42.857142857142854
old.java,75.0,99.70252850768469,99.70252850768469,25.0
old.java,100.0,99.06976744186046,99.06976744186046,0.0
old.java,100.0,98.73417721518987,98.73417721518987,0.0
old.java,8.333333333333332,99.28057553956835,99.28057553956835,91.66666666666666
old.java,15.384615384615385,87.5,87.5,84.61538461538461
old.java,64.28571428571429,96.90721649484536,96.90721649484536,35.714285714285715
old.java,63.63636363636363,99.67547519703291,99.67547519703291,36.36363636363637
old.java,50.0,99.72632731253421,99.72632731253421,50.0
old.java,100.0,89.38053097345133,89.38053097345133,0.0
old.java,83.33333333333334,99.65205288796103,99.65205288796103,16.666666666666664
old.java,62.5,91.37931034482759,91.37931034482759,37.5
old.java,25.0,99.00990099009901,99.00990099009901,75.0
old.java,50.0,96.20253164556962,96.20253164556962,50.0
old.java,92.3076923076923,91.94630872483222,91.94630872483222,7.6923076923076925
old.java,33.33333333333333,99.36908517350159,99.36908517350159,66.66666666666666
old.java,25.0,99.93145990404386,99.93145990404386,75.0
old.java,50.0,99.3421052631579,99.3421052631579,50.0
